=== reproduce/book/wb_truth_boundary.bin  n=20000 ===
  class           n | WB max    rms        ULP >1e-15 | RT max    rms        ULP >1e-15 | coverage A/B/fallback
  a->0         2500 | 5.209e-16 1.560e-16    4     0 | 7.938e-16 2.201e-16    6     0 | 2500/0/0
  a->700       2500 | 5.216e-16 1.491e-16    4     0 | 2.719e-16 8.922e-17    2     0 | 0/2500/0
  a=2pi        2500 | 5.453e-16 1.646e-16    4     0 | 7.882e-16 1.252e-16    5     0 | 1216/1284/0
  fill         2500 | 5.435e-16 1.536e-16    4     0 | 8.470e-16 1.483e-16    5     0 | 1221/1279/0
  h->0         2500 | 5.652e-16 1.538e-16    4     0 | 9.203e-16 2.346e-16    6     0 | 1766/734/0
  h=4          2500 | 5.350e-16 1.470e-16    4     0 | 2.972e-16 8.650e-17    2     0 | 0/2500/0
  reach        2500 | 5.695e-16 1.625e-16    4     0 | 2.782e-16 9.167e-17    2     0 | 0/2500/0
  theta=0.35   2500 | 5.033e-16 1.508e-16    4     0 | 6.274e-16 1.597e-16    5     0 | 2499/0/1
  ALL         20000 | 5.695e-16 1.548e-16    4     0 | 9.203e-16 1.543e-16    6     0 |  worst WB at h=3.9444 c=4.976487e-162
  worst 40 written to reproduce/book/wb_truth_boundary.bin.worst
